County,2017 NAICS code (NAICS2017),Meaning of NAICS Code (NAICS2017_LABEL),Meaning of Legal form of organization code (LFO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of establishments (ESTAB),"Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)",Number of employees (EMP),GeoFIPS,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
crawford michigan,0,Total for all sectors,All establishments,All establishments,2021,303,"1,60,595","34,978","3,320"," ""26039""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,421468,456077,454526,442583,544502,568304
delta michigan,0,Total for all sectors,All establishments,All establishments,2021,978,"4,50,554","99,870","11,095"," ""26041""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,1211920,1255168,1302528,1268257,1386240,1453892
dickinson michigan,0,Total for all sectors,All establishments,All establishments,2021,808,"6,45,884","1,54,970","11,925"," ""26043""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,1314952,1379556,1405556,1373136,1610347,1671384
eaton michigan,0,Total for all sectors,All establishments,All establishments,2021,"2,149","20,52,415","5,62,798","40,047"," ""26045""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,5237163,5269024,5384159,5459993,6000535,6506294
emmet michigan,0,Total for all sectors,All establishments,All establishments,2021,"1,527","7,22,830","1,52,308","14,831"," ""26047""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,1704219,1756936,1833920,1786649,2063613,2251773
genesee michigan,0,Total for all sectors,All establishments,All establishments,2021,"7,646","55,02,758","13,12,600","1,12,624"," ""26049""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,15931552,16519873,17099054,16134835,16872504,17635437
gladwin michigan,0,Total for all sectors,All establishments,All establishments,2021,400,"1,83,873","40,735","4,184"," ""26051""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,462859,494563,519753,518711,522227,572290
gogebic michigan,0,Total for all sectors,All establishments,All establishments,2021,354,"1,35,895","31,574","3,625"," ""26053""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,458918,481973,501572,489366,534541,584845
grand traverse michigan,0,Total for all sectors,All establishments,All establishments,2021,"3,435","23,60,769","5,22,314","44,418"," ""26055""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,5056523,5228190,5341122,5304138,5907056,6453519
gratiot michigan,0,Total for all sectors,All establishments,All establishments,2021,721,"4,87,324","1,08,713","10,768"," ""26057""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,1294516,1388298,1385440,1514441,1658511,1866530
hillsdale michigan,0,Total for all sectors,All establishments,All establishments,2021,753,"4,33,813","98,693","10,093"," ""26059""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,1547548,1597614,1580003,1594683,1886754,2030620
houghton michigan,0,Total for all sectors,All establishments,All establishments,2021,873,"3,52,456","76,922","8,754"," ""26061""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,1062283,1117356,1164479,1151394,1292267,1404271
huron michigan,0,Total for all sectors,All establishments,All establishments,2021,887,"4,59,141","1,04,663","10,256"," ""26063""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,1473629,1450647,1380823,1478712,1649529,1912087
ingham michigan,0,Total for all sectors,All establishments,All establishments,2021,"6,085","58,04,367","13,97,026","1,07,493"," ""26065""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,16493798,17251282,17965010,18397624,19477869,21213836
ionia michigan,0,Total for all sectors,All establishments,All establishments,2021,882,"4,86,215","1,08,492","11,226"," ""26067""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,1544216,1527255,1738312,1531670,1744922,2010395
iosco michigan,0,Total for all sectors,All establishments,All establishments,2021,608,"2,64,374","57,729","6,114"," ""26069""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,762177,795925,881317,939464,1060089,1146451
iron michigan,0,Total for all sectors,All establishments,All establishments,2021,349,"96,780","20,425","2,270"," ""26071""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,323784,337223,355884,335190,364547,392852
isabella michigan,0,Total for all sectors,All establishments,All establishments,2021,"1,375","10,73,772","2,37,206","23,675"," ""26073""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,2394643,2499502,2511303,2542027,2799506,3052657
jackson michigan,0,Total for all sectors,All establishments,All establishments,2021,"2,962","26,65,762","6,23,764","48,581"," ""26075""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,5986766,6434246,6828304,6765666,7586504,7989981
kalamazoo michigan,0,Total for all sectors,All establishments,All establishments,2021,"5,595","60,95,196","15,43,701","1,08,646"," ""26077""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,13678676,14799785,15535672,15951461,17417792,18785711
kalkaska michigan,0,Total for all sectors,All establishments,All establishments,2021,339,"2,25,354","45,867","3,810"," ""26079""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,546295,594123,593374,563157,650872,707082
kent michigan,0,Total for all sectors,All establishments,All establishments,2021,"17,226","2,00,09,865","47,27,317","3,53,731"," ""26081""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,41408211,43853830,45116709,45312953,49257601,53616177
keweenaw michigan,0,Total for all sectors,All establishments,All establishments,2021,62,"13,317","2,377",337," ""26083""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,48833,49662,55085,51617,59772,68401
lake michigan,0,Total for all sectors,All establishments,All establishments,2021,158,"53,015","11,432","1,305"," ""26085""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,222723,239642,238819,253968,254425,258664
lapeer michigan,0,Total for all sectors,All establishments,All establishments,2021,"1,717","7,98,449","1,77,414","19,479"," ""26087""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,2225842,2350384,2340100,2396045,2514820,2682781
leelanau michigan,0,Total for all sectors,All establishments,All establishments,2021,772,"2,26,897","44,947","4,367"," ""26089""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,725344,789676,815494,781979,892929,984758
lenawee michigan,0,Total for all sectors,All establishments,All establishments,2021,"1,764","9,49,333","2,17,330","22,351"," ""26091""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,2925613,3171011,3026595,3199120,3563186,3837365
livingston michigan,0,Total for all sectors,All establishments,All establishments,2021,"4,360","25,00,416","5,43,273","53,628"," ""26093""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,7183744,7422299,7502365,7419544,8303856,8990827
luce michigan,0,Total for all sectors,All establishments,All establishments,2021,165,"60,758","13,637","1,450"," ""26095""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,163553,165592,163372,157806,177320,188839
mackinac michigan,0,Total for all sectors,All establishments,All establishments,2021,450,"1,42,612","18,897","2,122"," ""26097""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,436189,449469,461842,428222,535147,600980
macomb michigan,0,Total for all sectors,All establishments,All establishments,2021,"19,119","1,73,89,963","42,84,224","2,98,681"," ""26099""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,40421550,41646480,41433655,39963215,43798133,46794637
manistee michigan,0,Total for all sectors,All establishments,All establishments,2021,566,"2,39,536","51,650","5,323"," ""26101""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,842887,877469,894680,873092,954364,1024200
marquette michigan,0,Total for all sectors,All establishments,All establishments,2021,"1,623","9,39,974","2,19,142","20,437"," ""26103""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,2701984,2732853,2806542,2778071,3255552,3381189
mason michigan,0,Total for all sectors,All establishments,All establishments,2021,713,"3,88,934","84,346","8,330"," ""26105""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,1021898,1068232,1049971,1053610,1151088,1226675
mecosta michigan,0,Total for all sectors,All establishments,All establishments,2021,717,"3,49,207","74,926","8,581"," ""26107""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,1290900,1302773,1347296,1270109,1459206,1456108
menominee michigan,0,Total for all sectors,All establishments,All establishments,2021,447,"2,19,552","48,672","5,086"," ""26109""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,700552,730046,743945,689142,779910,858372
midland michigan,0,Total for all sectors,All establishments,All establishments,2021,"1,781","24,24,060","6,54,335","33,255"," ""26111""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,5482023,5624003,5501750,5874076,6417567,7046843
missaukee michigan,0,Total for all sectors,All establishments,All establishments,2021,309,"99,258","22,559","2,472"," ""26113""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,424914,420621,454224,429085,489737,583923
monroe michigan,0,Total for all sectors,All establishments,All establishments,2021,"2,346","17,50,001","4,07,844","35,841"," ""26115""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,5999722,6039946,6207038,5898802,6540743,7118880
montcalm michigan,0,Total for all sectors,All establishments,All establishments,2021,"1,033","5,39,749","1,21,534","12,707"," ""26117""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,1550915,1615606,1651027,1661179,1833681,1960360
montmorency michigan,0,Total for all sectors,All establishments,All establishments,2021,208,"60,196","13,349","1,659"," ""26119""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,256904,278443,270637,264404,273466,297986
muskegon michigan,0,Total for all sectors,All establishments,All establishments,2021,"3,088","23,74,325","5,35,169","49,330"," ""26121""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,5986522,6240574,6358734,6166445,6833407,7408317
newaygo michigan,0,Total for all sectors,All establishments,All establishments,2021,827,"4,96,132","1,17,438","10,358"," ""26123""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,1371772,1412115,1446073,1434575,1506578,1631718
oakland michigan,0,Total for all sectors,All establishments,All establishments,2021,"39,178","4,67,29,018","1,11,88,020","6,77,968"," ""26125""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,103948141,108587659,111878330,109832929,118620804,127284794
oceana michigan,0,Total for all sectors,All establishments,All establishments,2021,477,"1,93,887","41,493","4,823"," ""26127""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,664011,689632,690803,656314,681455,735285
ogemaw michigan,0,Total for all sectors,All establishments,All establishments,2021,552,"2,16,330","44,662","5,232"," ""26129""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,538888,582059,579774,577316,626268,692908
ontonagon michigan,0,Total for all sectors,All establishments,All establishments,2021,167,"31,074","6,487",855," ""26131""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,125697,127417,137265,133553,149302,162351
osceola michigan,0,Total for all sectors,All establishments,All establishments,2021,432,"3,31,011","75,954","7,155"," ""26133""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,722005,738984,799425,779148,839943,921072
oscoda michigan,0,Total for all sectors,All establishments,All establishments,2021,187,"54,404","11,663","1,395"," ""26135""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,197493,208683,226960,199440,237600,263060
otsego michigan,0,Total for all sectors,All establishments,All establishments,2021,820,"4,15,406","88,978","9,207"," ""26137""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,976796,1026264,1033377,1066910,1200271,1315172
ottawa michigan,0,Total for all sectors,All establishments,All establishments,2021,"6,514","56,66,126","12,64,887","1,11,182"," ""26139""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,14387389,14837227,14978257,15440789,17595433,19709562
presque isle michigan,0,Total for all sectors,All establishments,All establishments,2021,313,"84,092","17,130","2,056"," ""26141""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,334635,331648,340948,358734,424898,450680
roscommon michigan,0,Total for all sectors,All establishments,All establishments,2021,536,"1,60,190","32,563","4,224"," ""26143""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,562704,583246,613681,646127,670738,722602
saginaw michigan,0,Total for all sectors,All establishments,All establishments,2021,"4,100","36,08,503","8,15,269","73,733"," ""26145""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,8198898,8587600,8718015,8718615,9484109,10090940
st. clair michigan,0,Total for all sectors,All establishments,All establishments,2021,"3,049","18,32,010","4,27,351","37,857"," ""26147""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,5281773,5593478,5583125,5693837,6257175,6801983
st. joseph michigan,0,Total for all sectors,All establishments,All establishments,2021,"1,125","8,90,917","2,28,738","18,994"," ""26149""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,2059242,2072930,2096944,2117987,2343381,2521563
sanilac michigan,0,Total for all sectors,All establishments,All establishments,2021,811,"3,42,465","75,208","8,186"," ""26151""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,1228358,1269987,1216140,1217465,1389501,1554430
schoolcraft michigan,0,Total for all sectors,All establishments,All establishments,2021,217,"83,247","17,483","1,713"," ""26153""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,278521,279522,287744,287355,325297,312331
shiawassee michigan,0,Total for all sectors,All establishments,All establishments,2021,"1,134","5,71,173","1,29,420","12,996"," ""26155""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,1684085,1801304,1772813,1718683,1894318,2056485
tuscola michigan,0,Total for all sectors,All establishments,All establishments,2021,814,"3,95,402","84,727","8,706"," ""26157""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,1211404,1242421,1274855,1349949,1490055,1644071
van buren michigan,0,Total for all sectors,All establishments,All establishments,2021,"1,285","8,20,964","2,06,693","15,693"," ""26159""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,2887839,2866829,2957080,3095565,3250698,3340545
washtenaw michigan,0,Total for all sectors,All establishments,All establishments,2021,"8,150","98,73,942","23,11,948","1,45,041"," ""26161""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,24040003,25061817,26448632,26578850,28686650,30556485
wayne michigan,0,Total for all sectors,All establishments,All establishments,2021,"33,056","4,09,27,242","1,00,70,192","6,23,212"," ""26163""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,97146266,99842201,101481722,97055844,103789971,112856578
wexford michigan,0,Total for all sectors,All establishments,All establishments,2021,894,"5,24,606","1,19,271","12,204"," ""26165""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,1243967,1302523,1358723,1291038,1465891,1571631
aitkin minnesota,0,Total for all sectors,All establishments,All establishments,2021,411,"1,50,360","32,836","3,424"," ""27001""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,450099,479256,517411,510321,565301,609048
anoka minnesota,0,Total for all sectors,All establishments,All establishments,2021,"8,226","66,13,434","14,45,117","1,16,567"," ""27003""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,14727190,15591171,16467659,16453084,17238206,18420960
becker minnesota,0,Total for all sectors,All establishments,All establishments,2021,956,"5,01,178","1,06,094","10,791"," ""27005""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,1359790,1453732,1452630,1477596,1624395,1795267
beltrami minnesota,0,Total for all sectors,All establishments,All establishments,2021,"1,251","6,54,467","1,41,116","15,218"," ""27007""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,1683816,1804546,1879601,1963917,2113886,2234593
benton minnesota,0,Total for all sectors,All establishments,All establishments,2021,929,"8,01,082","1,73,698","16,012"," ""27009""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,1902500,1852141,1855026,1886312,1995919,2209540
big stone minnesota,0,Total for all sectors,All establishments,All establishments,2021,178,"62,103","11,102","1,355"," ""27011""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,207174,203074,202867,239336,276146,326831
blue earth minnesota,0,Total for all sectors,All establishments,All establishments,2021,"1,941","15,32,524","3,52,270","33,457"," ""27013""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,4045039,4098053,4234514,4207261,4540400,4934359
brown minnesota,0,Total for all sectors,All establishments,All establishments,2021,803,"5,93,957","1,28,782","13,042"," ""27015""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,1505083,1552206,1492899,1419999,1582356,1746852
carlton minnesota,0,Total for all sectors,All establishments,All establishments,2021,680,"3,59,015","78,394","7,017"," ""27017""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,1324265,1373338,1427464,1445659,1634200,1665268
carver minnesota,0,Total for all sectors,All establishments,All establishments,2021,"2,619","23,16,681","5,20,444","38,482"," ""27019""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,5349277,5586315,5733832,5538589,6129370,6726856
cass minnesota,0,Total for all sectors,All establishments,All establishments,2021,867,"2,79,287","52,077","6,754"," ""27021""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,992683,1041815,1049550,1033098,1453727,1284928
chippewa minnesota,0,Total for all sectors,All establishments,All establishments,2021,375,"2,01,866","44,788","4,736"," ""27023""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,570349,567747,563243,581488,673104,745526
chisago minnesota,0,Total for all sectors,All establishments,All establishments,2021,"1,334","7,60,453","1,74,811","14,492"," ""27025""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,1544816,1626329,1706465,1685879,1853394,1968285
clay minnesota,0,Total for all sectors,All establishments,All establishments,2021,"1,325","6,83,553","1,50,383","16,849"," ""27027""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,1970837,2049210,2191969,2202973,2438324,2649490
clearwater minnesota,0,Total for all sectors,All establishments,All establishments,2021,195,"1,29,971","26,466","2,344"," ""27029""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,313494,299602,286004,297132,362422,360729
cook minnesota,0,Total for all sectors,All establishments,All establishments,2021,289,"76,407","16,088","1,865"," ""27031""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,256012,293665,281117,258434,285444,306484
cottonwood minnesota,0,Total for all sectors,All establishments,All establishments,2021,339,"1,45,629","32,300","3,786"," ""27033""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,639431,654738,599569,675777,763518,908293
crow wing minnesota,0,Total for all sectors,All establishments,All establishments,2021,"2,227","12,25,159","2,59,372","26,842"," ""27035""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,2736565,2862966,3061162,3036816,3208796,3410317
dakota minnesota,0,Total for all sectors,All establishments,All establishments,2021,"10,770","1,02,98,256","24,68,840","1,72,424"," ""27037""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,25137857,27562007,27878810,26900560,29012689,31729539
dodge minnesota,0,Total for all sectors,All establishments,All establishments,2021,403,"2,48,768","48,808","4,350"," ""27039""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,716280,748379,788960,761314,898872,1012402
douglas minnesota,0,Total for all sectors,All establishments,All establishments,2021,"1,355","8,84,719","1,90,907","17,390"," ""27041""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,1902245,1979134,2061971,2098433,2310435,2533065
faribault minnesota,0,Total for all sectors,All establishments,All establishments,2021,399,"1,45,866","33,123","3,587"," ""27043""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,451678,463466,497014,520762,638891,723697
fillmore minnesota,0,Total for all sectors,All establishments,All establishments,2021,586,"1,86,471","41,033","4,475"," ""27045""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,649680,606824,631971,690633,749241,850568
freeborn minnesota,0,Total for all sectors,All establishments,All establishments,2021,761,"4,81,876","1,06,373","10,625"," ""27047""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,1228317,1215088,1281256,1303463,1480763,1665061
goodhue minnesota,0,Total for all sectors,All establishments,All establishments,2021,"1,257","9,53,813","2,23,198","18,593"," ""27049""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,2884458,2954119,2944210,2999511,3201178,3698183
grant minnesota,0,Total for all sectors,All establishments,All establishments,2021,208,"58,714","12,434","1,450"," ""27051""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,243856,245361,266840,284828,327150,405848
hennepin minnesota,0,Total for all sectors,All establishments,All establishments,2021,"40,630","6,86,81,126","1,74,48,514","8,75,266"," ""27053""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,135026932,141931028,147134676,144792600,158639754,171684705
houston minnesota,0,Total for all sectors,All establishments,All establishments,2021,417,"1,60,866","35,989","4,095"," ""27055""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,541530,531918,553657,587862,659773,713497
hubbard minnesota,0,Total for all sectors,All establishments,All establishments,2021,602,"1,98,025","42,983","4,562"," ""27057""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,674359,759488,851881,856011,908558,959299
isanti minnesota,0,Total for all sectors,All establishments,All establishments,2021,952,"3,94,271","87,909","9,311"," ""27059""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,1092329,1129862,1180971,1176252,1278668,1336181
itasca minnesota,0,Total for all sectors,All establishments,All establishments,2021,"1,144","5,95,067","1,29,967","12,639"," ""27061""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,2090282,2230581,2207136,2093306,2360846,2599407
jackson minnesota,0,Total for all sectors,All establishments,All establishments,2021,298,"1,95,066","48,236","3,928"," ""27063""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,639326,657864,685330,647808,704898,823639
kanabec minnesota,0,Total for all sectors,All establishments,All establishments,2021,303,"1,40,619","27,389","2,969"," ""27065""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,402378,422298,452706,451282,486229,505544
kandiyohi minnesota,0,Total for all sectors,All establishments,All establishments,2021,"1,401","8,40,029","1,86,912","18,587"," ""27067""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,2332902,2343866,2333049,2287908,2487605,2751211
kittson minnesota,0,Total for all sectors,All establishments,All establishments,2021,145,"46,584","10,000","1,108"," ""27069""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,201599,203499,189705,235857,326004,364075
koochiching minnesota,0,Total for all sectors,All establishments,All establishments,2021,374,"1,49,186","34,650","3,356"," ""27071""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,508946,572871,563109,515735,526591,569211
lac qui parle minnesota,0,Total for all sectors,All establishments,All establishments,2021,200,"64,246","14,118","1,598"," ""27073""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,249974,243195,263351,296064,369211,449857
lake minnesota,0,Total for all sectors,All establishments,All establishments,2021,316,"1,38,217","33,559","3,145"," ""27075""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,516651,569589,583601,540326,562284,557115
lake of the woods minnesota,0,Total for all sectors,All establishments,All establishments,2021,167,"65,180","16,203","1,443"," ""27077""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,180057,199059,201941,204806,221367,239039
le sueur minnesota,0,Total for all sectors,All establishments,All establishments,2021,719,"3,79,571","82,608","6,949"," ""27079""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,958550,1013377,981964,997555,1056339,1141225
lincoln minnesota,0,Total for all sectors,All establishments,All establishments,2021,190,"44,688","9,710","1,197"," ""27081""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,263024,270507,325574,339927,436828,580214
lyon minnesota,0,Total for all sectors,All establishments,All establishments,2021,821,"6,05,084","1,57,754","12,144"," ""27083""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,1581980,1587736,1623813,1560643,1745770,1908626
mcleod minnesota,0,Total for all sectors,All establishments,All establishments,2021,953,"7,15,821","1,65,956","14,409"," ""27085""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,1816268,1881006,1892008,1816816,1979850,2052084
mahnomen minnesota,0,Total for all sectors,All establishments,All establishments,2021,97,"65,442","14,436","1,700"," ""27087""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,159185,168852,177526,171336,228082,246124
marshall minnesota,0,Total for all sectors,All establishments,All establishments,2021,253,"77,401","16,738","1,494"," ""27089""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,352613,383309,411665,446716,545263,622269
martin minnesota,0,Total for all sectors,All establishments,All establishments,2021,601,"3,60,115","79,623","7,272"," ""27091""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,1073860,1116855,1119809,1004647,1223035,1359538
meeker minnesota,0,Total for all sectors,All establishments,All establishments,2021,593,"2,87,472","63,572","6,344"," ""27093""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,813790,957810,1104703,1040925,1107890,1289449
mille lacs minnesota,0,Total for all sectors,All establishments,All establishments,2021,719,"3,25,549","72,416","7,831"," ""27095""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,792635,829865,872843,841158,940015,977850
morrison minnesota,0,Total for all sectors,All establishments,All establishments,2021,921,"3,45,106","76,001","8,137"," ""27097""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,1152573,1189227,1125496,1169563,1201007,1370436
mower minnesota,0,Total for all sectors,All establishments,All establishments,2021,804,"6,86,063","1,52,073","13,533"," ""27099""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,1911393,1963368,1911490,1952300,2138928,2359673
murray minnesota,0,Total for all sectors,All establishments,All establishments,2021,263,"98,969","21,896","2,525"," ""27101""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,447570,490269,537328,514462,527872,608767
nicollet minnesota,0,Total for all sectors,All establishments,All establishments,2021,695,"7,02,897","1,63,339","13,982"," ""27103""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,1516684,1639087,1613680,1544644,1683177,1896196
nobles minnesota,0,Total for all sectors,All establishments,All establishments,2021,578,"4,12,294","98,077","9,025"," ""27105""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,1255787,1289356,1249112,1291743,1401613,1576983
norman minnesota,0,Total for all sectors,All establishments,All establishments,2021,175,"60,191","13,235","1,326"," ""27107""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,196218,206776,238723,243923,324080,348809
olmsted minnesota,0,Total for all sectors,All establishments,All establishments,2021,"3,658","65,55,152","16,23,150","1,01,848"," ""27109""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,10960398,11630507,12127233,12197118,12972323,13666656
otter tail minnesota,0,Total for all sectors,All establishments,All establishments,2021,"1,727","8,06,177","1,79,468","17,960"," ""27111""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,2289707,2328745,2354816,2500570,2724722,2949630
pennington minnesota,0,Total for all sectors,All establishments,All establishments,2021,368,"5,03,283","1,09,348","9,263"," ""27113""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,1371850,1730424,1833003,1816541,2324140,2522199
pine minnesota,0,Total for all sectors,All establishments,All establishments,2021,631,"2,38,339","48,072","6,143"," ""27115""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,698917,738473,778739,758934,819820,878659
pipestone minnesota,0,Total for all sectors,All establishments,All establishments,2021,308,"1,59,655","34,545","4,223"," ""27117""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,663429,682115,689966,645590,707430,835140
polk minnesota,0,Total for all sectors,All establishments,All establishments,2021,740,"3,82,917","85,018","8,634"," ""27119""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,1245857,1302192,1408626,1479622,1712433,1753112
pope minnesota,0,Total for all sectors,All establishments,All establishments,2021,375,"1,99,489","44,040","4,085"," ""27121""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,489158,518189,539478,558030,648622,737546
ramsey minnesota,0,Total for all sectors,All establishments,All establishments,2021,"13,624","1,90,35,473","47,95,280","2,83,667"," ""27123""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,42055201,43346083,44858761,44059008,46009672,49206361
red lake minnesota,0,Total for all sectors,All establishments,All establishments,2021,95,"22,238","5,021",644," ""27125""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,166604,178123,160454,159056,225437,267007
redwood minnesota,0,Total for all sectors,All establishments,All establishments,2021,510,"2,45,508","55,357","5,493"," ""27127""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,753235,840632,820769,859573,1073628,1275903
renville minnesota,0,Total for all sectors,All establishments,All establishments,2021,460,"2,08,117","47,437","4,186"," ""27129""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,726963,781953,659369,756388,935859,1048660
rice minnesota,0,Total for all sectors,All establishments,All establishments,2021,"1,539","10,82,582","2,41,404","24,371"," ""27131""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,2735108,2879549,2895324,2968818,3178866,3392205
