County,2017 NAICS code (NAICS2017),Meaning of NAICS Code (NAICS2017_LABEL),Meaning of Legal form of organization code (LFO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of establishments (ESTAB),"Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)",Number of employees (EMP),GeoFIPS,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
lee alabama,0,Total for all sectors,All establishments,All establishments,2021,"3,124","18,81,877","4,37,235","47,777"," ""01081""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,6138724,6252206,6636401,6642063,7359897,8255829
limestone alabama,0,Total for all sectors,All establishments,All establishments,2021,"1,535","10,29,301","2,18,647","20,801"," ""01083""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,3782933,3842835,4210185,4246047,5079621,5787499
lowndes alabama,0,Total for all sectors,All establishments,All establishments,2021,112,"81,199","18,844","1,732"," ""01085""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,437070,433688,399224,392692,432984,488453
macon alabama,0,Total for all sectors,All establishments,All establishments,2021,200,"2,24,085","53,995","4,482"," ""01087""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,550614,554043,569041,564656,589042,637744
madison alabama,0,Total for all sectors,All establishments,All establishments,2021,"8,881","1,11,37,172","25,96,264","1,76,352"," ""01089""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,23737673,25219264,26961420,27995128,29844781,32313440
marengo alabama,0,Total for all sectors,All establishments,All establishments,2021,440,"2,73,702","65,151","5,736"," ""01091""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,722874,773500,805011,839091,925530,974867
marion alabama,0,Total for all sectors,All establishments,All establishments,2021,548,"3,30,372","76,908","8,948"," ""01093""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,870465,913213,915689,939686,1096564,1218347
marshall alabama,0,Total for all sectors,All establishments,All establishments,2021,"1,880","13,98,540","3,07,395","34,387"," ""01095""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,3469332,3616017,3750451,3753026,4159243,4564317
mobile alabama,0,Total for all sectors,All establishments,All establishments,2021,"9,283","74,73,723","16,98,554","1,47,818"," ""01097""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,19734787,20752659,21247605,21389006,23883341,26292053
monroe alabama,0,Total for all sectors,All establishments,All establishments,2021,397,"2,34,499","53,514","5,036"," ""01099""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,724511,719197,696116,678762,750741,777428
montgomery alabama,0,Total for all sectors,All establishments,All establishments,2021,"5,523","49,08,554","11,69,872","1,01,354"," ""01101""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,14011331,14269732,14757669,14720802,15625535,16757043
morgan alabama,0,Total for all sectors,All establishments,All establishments,2021,"2,637","24,85,423","5,76,082","45,448"," ""01103""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,5556105,5818952,5854715,6030025,6567974,7308567
perry alabama,0,Total for all sectors,All establishments,All establishments,2021,106,"48,491","11,389","1,509"," ""01105""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,209961,207988,210618,213562,213268,202168
pickens alabama,0,Total for all sectors,All establishments,All establishments,2021,246,"1,02,148","23,351","2,549"," ""01107""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,452493,453238,464337,470777,514719,578171
pike alabama,0,Total for all sectors,All establishments,All establishments,2021,647,"5,58,825","1,26,581","13,107"," ""01109""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,1392115,1434204,1455065,1450077,1706100,1893725
randolph alabama,0,Total for all sectors,All establishments,All establishments,2021,348,"1,35,093","33,625","3,821"," ""01111""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,483214,503888,497210,494384,572972,652558
russell alabama,0,Total for all sectors,All establishments,All establishments,2021,831,"4,36,330","1,04,686","10,785"," ""01113""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,1495039,1535131,1573530,1608690,1789698,1940406
st. clair alabama,0,Total for all sectors,All establishments,All establishments,2021,"1,416","6,85,000","1,59,049","16,729"," ""01115""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,2020338,2133098,2215567,2138628,2311527,2530093
shelby alabama,0,Total for all sectors,All establishments,All establishments,2021,"5,447","49,57,991","12,21,129","84,466"," ""01117""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,11639599,12169306,12771584,13012440,14320098,15537929
sumter alabama,0,Total for all sectors,All establishments,All establishments,2021,193,"1,14,012","25,045","2,617"," ""01119""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,324042,324656,329752,344484,365925,382973
talladega alabama,0,Total for all sectors,All establishments,All establishments,2021,"1,244","11,39,407","2,61,761","24,910"," ""01121""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,3170439,3253853,3275623,3160874,3292301,3654476
tallapoosa alabama,0,Total for all sectors,All establishments,All establishments,2021,789,"3,85,799","90,208","10,198"," ""01123""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,1318572,1380205,1476665,1407281,1550782,1703561
tuscaloosa alabama,0,Total for all sectors,All establishments,All establishments,2021,"4,166","38,82,627","9,23,034","78,856"," ""01125""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,10228417,10711426,11306943,10576407,11477039,12693193
walker alabama,0,Total for all sectors,All establishments,All establishments,2021,"1,247","5,55,476","1,34,890","13,937"," ""01127""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,2005235,2069775,1919169,1804396,1905317,2113117
washington alabama,0,Total for all sectors,All establishments,All establishments,2021,209,"4,56,351","1,10,780","5,293"," ""01129""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,841373,869378,865307,859848,988609,1068587
wilcox alabama,0,Total for all sectors,All establishments,All establishments,2021,180,"91,000","26,462","1,931"," ""01131""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,430526,467746,443623,407062,387619,380794
winston alabama,0,Total for all sectors,All establishments,All establishments,2021,411,"3,20,657","75,719","7,749"," ""01133""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,719959,753106,821274,880638,1041592,1131694
aleutians east borough alaska,0,Total for all sectors,All establishments,All establishments,2021,58,"96,528","27,038","1,839"," ""02013""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,312665,347292,332626,274977,304271,322727
aleutians west census area alaska,0,Total for all sectors,All establishments,All establishments,2021,115,"1,59,738","41,454","2,987"," ""02016""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,795250,686484,637847,725529,742121,854226
